ds,y,Shares traded,Moving_average_50,RSI_14,upper_band_20,middle_band_20,lower_band_20,MACD,MACD_signal,MACD_histogram,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force)",Sentiment,Shanghai Stock Exchange,Dow Jones Industrial Average
2016-12-29,8103.6,183984077,8257.509,48.282513227008174,8283.049393600873,8106.495000000001,7929.940606399129,-60.2250321633137,-64.50703284935771,4.2820006860440145,8.2563,4.9,7.8,0.4767,3096.096923828125,19819.779296875
2016-12-30,8185.8,131457250,8247.237,53.75631961293346,8291.038212287578,8111.445,7931.85178771242,-45.92404762810202,-60.790435805106576,14.86638817700456,8.2563,4.9,7.8,-0.5423,3103.636962890625,19762.599609375
2017-01-02,8179.5,122016111,8236.966,53.29077907452855,8295.90108144448,8113.9825,7932.063918555522,-34.698785697345556,-55.57210578355438,20.87332008620882,6.7954,3.3,7.7,0.0258,3103.636962890625,19762.599609375
2017-01-03,8192.25,131186021,8226.632,54.15607388625045,8301.167773303461,8116.4375,7931.70722669654,-24.491543037095653,-49.355993234262634,24.86445019716698,6.7954,3.3,7.7,0.8807,3135.9208984375,19881.759765625
2017-01-04,8190.5,136476345,8216.616,54.00818565620737,8308.217120493915,8120.860000000001,7933.502879506086,-16.354910832774294,-42.755776753964966,26.40086592119067,6.7954,3.3,7.7,0.8689,3158.7939453125,19942.16015625
2017-01-05,8273.8,163957452,8209.787,59.65573327677562,8313.515785954296,8122.2074999999995,7930.899214045703,-3.148661546394578,-34.83435371245089,31.685692166056313,6.7954,3.3,7.7,0.7184,3165.410888671875,19899.2890625
2017-01-06,8243.8,143689850,8202.358,56.94375385893128,8310.143692967571,8121.31,7932.47630703243,4.840834749730675,-26.89931602001458,31.740150769745256,6.7954,3.3,7.7,-0.4019,3154.321044921875,19963.80078125
2017-01-09,8236.05,102211190,8194.319,56.2325613108001,8318.888710015455,8124.572499999999,7930.256289984543,10.427011793706697,-19.434050457270324,29.86106225097702,6.7954,3.3,7.7,0.2732,3171.236083984375,19887.380859375
2017-01-10,8288.6,147312927,8187.576999999999,59.890558905799345,8330.90149939349,8127.9125,7924.92350060651,18.876842676665547,-11.77187183048315,30.648714507148696,6.7954,3.3,7.7,0.9313,3161.6708984375,19855.529296875
2017-01-11,8380.65,192285417,8182.665,65.35307506325441,8368.022592256215,8137.822499999999,7907.622407743784,32.624979776684995,-2.89250150904952,35.51748128573452,6.7954,3.3,7.7,0.8555,3136.75390625,19954.279296875
2017-01-12,8407.2,177948383,8180.528999999999,66.75925932339833,8408.982701320661,8150.5025000000005,7892.022298679339,45.14246633907533,6.714492060575449,38.427974278499875,6.7954,3.3,7.7,0.4019,3119.2890625,19891.0
2017-01-13,8400.35,190949616,8178.837,66.01481931447354,8443.889522313404,8163.547500000001,7883.205477686596,53.888731123408434,16.149339873142047,37.73939125026639,6.7954,3.3,7.7,0.4215,3112.763916015625,19885.73046875
2017-01-16,8412.8,127938836,8178.418000000001,66.74074829260644,8477.909338996673,8178.969999999999,7880.030661003325,61.120263576964135,25.143524613906465,35.97673896305767,6.7954,3.3,7.7,-0.2732,3103.427978515625,19885.73046875
2017-01-17,8398.0,125781216,8176.437,64.96428491139748,8504.747370956218,8194.75,7884.752629043781,64.90884013086543,33.09658771729826,31.812252413567165,6.7954,3.3,7.7,-0.3612,3108.77490234375,19826.76953125
2017-01-18,8417.0,168867039,8173.906,66.20781978640201,8530.576470723187,8212.535,7894.493529276814,68.65306574852912,40.207883323544436,28.44518242498468,6.7954,3.3,7.7,-0.7579,3113.011962890625,19804.720703125
2017-01-19,8435.1,170956149,8173.967999999999,67.39506381896842,8548.511744187315,8235.335000000001,7922.1582558126875,72.2480793720697,46.61592253324949,25.632156838820208,6.7954,3.3,7.7,0.5423,3101.299072265625,19732.400390625
2017-01-20,8349.35,208901233,8170.44,57.15068838865759,8548.301317694302,8253.515000000001,7958.7286823057,67.40088971106161,50.772915968811915,16.627973742249694,6.7954,3.3,7.7,-0.4404,3123.138916015625,19827.25
2017-01-23,8391.5,200993100,8172.344,60.34177643611423,8531.705166750622,8277.677500000002,8023.649833249381,66.19752584889102,53.85783794482774,12.339687904063275,6.7954,3.3,7.7,0.802,3136.77490234375,19799.849609375
2017-01-24,8475.8,184745781,8179.691,65.82371832476967,8541.548835191657,8299.825,8058.101164808344,71.22511796999424,57.33129394986105,13.893824020133195,6.7954,3.3,7.7,0.5423,3142.552978515625,19912.7109375
2017-01-25,8602.75,301490150,8189.514,72.08223756963048,8572.178335376682,8328.22,8084.261664623317,84.47949791707106,62.76093474330305,21.718563173768004,6.7954,3.3,7.7,0.4588,3149.554931640625,20068.509765625
2017-01-27,8641.25,283905821,8200.74,73.65771755820032,8612.263386362525,8355.102499999999,8097.941613637472,96.97247938082546,69.60324367080754,27.369235710017918,6.7954,3.3,7.7,0.0,3149.554931640625,20068.509765625
2017-01-30,8632.75,314110760,8211.913,72.68249222559334,8649.146591807405,8377.45,8105.753408192596,104.97726566290112,76.67804806922626,28.299217593674854,6.7954,3.3,7.7,0.8481,3149.554931640625,20068.509765625
2017-01-31,8561.3,537110119,8224.556999999999,64.90350819736312,8663.531853058774,8396.539999999999,8129.548146941224,104.35278465127703,82.21299538563642,22.139789265640616,6.7954,3.3,7.7,0.0,3149.554931640625,20068.509765625
2017-02-01,8716.4,337797412,8238.839,71.92729834530145,8706.741374009207,8422.747500000001,8138.753625990796,115.0469629509862,88.77978889870637,26.267174052279827,6.7954,3.3,7.7,0.0,3149.554931640625,20068.509765625
2017-02-02,8734.25,292329202,8252.858,72.60675599477686,8743.728909228486,8449.935000000001,8156.141090771516,123.53844779604697,95.7315206781745,27.806927117872462,6.7954,3.3,7.7,0.6808,3149.554931640625,20068.509765625
2017-02-03,8740.95,196936238,8268.367,72.87216435174314,8781.295435496975,8473.2925,8165.289564503024,129.31794791344691,102.448806125229,26.869141788217917,6.7954,3.3,7.7,-0.9001,3140.169921875,20071.4609375
2017-02-06,8801.05,200403782,8282.102,75.19390586916215,8821.642389611125,8501.155,8180.667610388877,137.16663948219866,109.39237279662294,27.774266685575725,6.7954,3.3,7.7,-0.2263,3156.98388671875,20052.419921875
2017-02-07,8768.3,233294532,8294.93,71.5978989741911,8844.147689447365,8527.7675,8211.387310552635,139.14021105905704,115.34194044910976,23.79827060994728,6.7954,3.3,7.7,-0.7906,3153.087890625,20090.2890625
2017-02-08,8769.05,225485726,8307.467999999999,71.63135782829325,8864.825673046618,8551.789999999999,8238.75432695338,139.160642225439,120.10568080437561,19.054961421063396,6.7954,3.3,7.7,-0.34,3166.98193359375,20054.33984375
2017-02-09,8778.4,193282248,8318.546,72.07304943080182,8889.202176954012,8571.6775,8254.152823045988,138.336642230719,123.75187308964429,14.584769141074716,6.7954,3.3,7.7,0.8934,3183.178955078125,20172.400390625
2017-02-10,8793.55,232947341,8330.559000000001,72.81171542410911,8913.119461815224,8590.994999999999,8268.870538184774,137.32311924647183,126.4661223210098,10.856996925462028,6.7954,3.3,7.7,0.7096,3196.698974609375,20269.369140625
2017-02-13,8805.05,211180353,8344.924,73.38713691725592,8933.753105218442,8611.23,8288.706894781557,135.88149161782712,128.34919618037327,7.532295437453854,6.7954,3.3,7.7,0.6249,3216.839111328125,20412.16015625
2017-02-14,8792.3,194133563,8358.195,71.57836797426054,8948.42399204753,8630.205,8311.98600795247,132.1864102379168,129.11663899188198,3.0697712460348043,6.7954,3.3,7.7,0.8316,3217.927978515625,20504.41015625
2017-02-15,8724.7,222828919,8369.826,62.747903239899834,8948.530110102542,8646.539999999999,8344.549889897457,122.39241302872324,127.77179379925023,-5.379380770526993,6.7954,3.3,7.7,0.0,3212.986083984375,20611.859375
2017-02-16,8778.0,190277738,8383.345,66.28016151051685,8952.363245107575,8664.59,8376.816754892425,117.57611991008343,125.73265902141688,-8.156539111333444,6.7954,3.3,7.7,0.6249,3229.617919921875,20619.76953125
2017-02-17,8821.7,307526025,8394.841999999999,68.88516407325903,8959.097076443048,8683.92,8408.742923556953,115.9488119691523,123.77588961096397,-7.82707764181167,6.7954,3.3,7.7,0.3182,3202.075927734375,20624.05078125
2017-02-20,8879.2,173022362,8407.190999999999,71.95521688213424,8951.564841632302,8710.4125,8469.260158367699,117.93939620951642,122.60859093067447,-4.66919472115805,6.7954,3.3,7.7,0.8885,3239.9609375,20624.05078125
2017-02-21,8907.85,181091326,8421.931999999999,73.36537059157037,8943.458268823875,8736.23,8529.001731176124,120.44040213903827,122.17495317234723,-1.7345510333089607,6.7954,3.3,7.7,-0.5267,3253.325927734375,20743.0
2017-02-22,8926.9,254677956,8436.034,74.29103589073651,8944.835789032832,8758.785,8572.734210967168,122.5469976434888,122.24936206657554,0.29763557691325104,6.7954,3.3,7.7,-0.5859,3261.218017578125,20775.599609375
2017-02-23,8939.5,388874096,8451.175,74.91209365175901,8963.087399313816,8775.622500000001,8588.157600686187,123.80604543024128,122.56069873930869,1.2453466909325925,6.7954,3.3,7.7,0.7906,3251.375,20810.3203125
2017-02-27,8896.7,195847099,8466.037,68.82961410452427,8972.273492216296,8788.395,8604.516507783705,119.96733876253529,122.04202674395401,-2.0746879814187196,6.7954,3.3,7.7,0.7003,3228.659912109375,20837.439453125
2017-02-28,8879.6,302722890,8480.84,66.50619348863508,8974.001887208502,8800.7375,8627.473112791497,114.22855332473227,120.47933206010967,-6.250778735377395,6.7954,3.3,7.7,0.8885,3241.73291015625,20812.240234375
2017-03-01,8945.8,212328974,8497.669,70.63837302953422,8965.855295828776,8819.9625,8674.069704171223,113.71151569312315,119.12576878671237,-5.414253093589224,6.7954,3.3,7.7,-0.5859,3246.93408203125,21115.55078125
2017-03-02,8899.75,225608140,8514.016,64.66222119058222,8970.822294778993,8829.13,8687.437705221006,108.33706722741226,116.96802847485236,-8.630961247440098,6.7954,3.3,7.7,-0.4939,3230.028076171875,21002.970703125
2017-03-03,8897.55,208915878,8530.741,64.38198576651999,8974.938938841262,8837.295,8699.651061158738,102.71620797675496,114.11766437523289,-11.401456398477933,6.7954,3.3,7.7,0.3818,3218.31201171875,21005.7109375
2017-03-06,8963.45,180194586,8550.428,68.75075725092742,8989.051918140003,8848.42,8707.788081859997,102.39882585186206,111.77389667055874,-9.375070818696685,6.7954,3.3,7.7,-0.2263,3233.865966796875,20954.33984375
2017-03-07,8946.9,178827506,8569.651,66.54330528761432,9000.817609747162,8855.7125,8710.607390252837,99.66299853632518,109.35171704371204,-9.688718507386866,6.7954,3.3,7.7,0.3612,3242.406005859375,20924.759765625
2017-03-08,8924.3,183325544,8589.972,63.54292632724621,9005.726398317767,8863.5125,8721.298601682234,94.58093441690289,106.39756051835022,-11.816626101447326,6.7954,3.3,7.7,-0.128,3240.6650390625,20855.73046875
2017-03-09,8927.0,176810453,8607.855,63.753198325700424,9009.238917864634,8871.41,8733.581082135366,89.7367994581873,103.06540830631764,-13.32860884813033,6.7954,3.3,7.7,-0.5859,3216.74609375,20858.189453125
2017-03-10,8934.55,157419999,8625.849,64.37201046311088,9012.709605664475,8879.217499999999,8745.725394335523,85.52117463915602,99.55656157288531,-14.0353869337293,6.7954,3.3,7.7,0.8481,3212.760009765625,20902.98046875
2017-03-14,9087.0,278726933,8645.517,74.01767742045676,9049.215279976363,8893.89,8738.564720023636,93.40498796169231,98.32624685064673,-4.921258888954412,6.7954,3.3,7.7,0.0,3239.327880859375,20837.369140625
