Date,Close,Shares traded
"Tuesday, January 5, 2016",7784.65,149672973
"Wednesday, January 6, 2016",7741,151715828
"Thursday, January 7, 2016",7568.3,194732861
"Friday, January 8, 2016",7601.35,162348690
"Monday, January 11, 2016",7563.85,194836791
"Tuesday, January 12, 2016",7510.3,168975973
"Wednesday, January 13, 2016",7562.4,221908258
"Thursday, January 14, 2016",7536.8,206988549
"Friday, January 15, 2016",7437.8,203643071
"Monday, January 18, 2016",7351,240798183
"Tuesday, January 19, 2016",7435.1,194068339
"Wednesday, January 20, 2016",7309.3,232614141
"Thursday, January 21, 2016",7276.8,248113284
"Friday, January 22, 2016",7422.45,236282061
"Monday, January 25, 2016",7436.15,168202502
"Wednesday, January 27, 2016",7437.75,193389891
"Thursday, January 28, 2016",7424.65,283036298
"Friday, January 29, 2016",7563.55,307934042
"Monday, February 1, 2016",7555.95,206645021
"Tuesday, February 2, 2016",7455.55,237338907
"Wednesday, February 3, 2016",7361.8,197863301
"Thursday, February 4, 2016",7404,229563364
"Friday, February 5, 2016",7489.1,257518899
"Monday, February 8, 2016",7387.25,176758985
"Tuesday, February 9, 2016",7298.2,218730280
"Wednesday, February 10, 2016",7215.7,254481339
"Thursday, February 11, 2016",6976.35,301302956
"Friday, February 12, 2016",6980.95,344210729
"Monday, February 15, 2016",7162.95,365217073
"Tuesday, February 16, 2016",7048.25,261607451
"Wednesday, February 17, 2016",7108.45,268017961
"Thursday, February 18, 2016",7191.75,254331498
"Friday, February 19, 2016",7210.75,198206480
"Monday, February 22, 2016",7234.55,159162842
"Tuesday, February 23, 2016",7109.55,200396978
"Wednesday, February 24, 2016",7018.7,205898417
"Thursday, February 25, 2016",6970.6,291932544
"Friday, February 26, 2016",7029.75,213142575
"Monday, February 29, 2016",6987.05,487969285
"Tuesday, March 1, 2016",7222.3,283561570
"Wednesday, March 2, 2016",7368.85,348965708
"Thursday, March 3, 2016",7475.6,287248532
"Friday, March 4, 2016",7485.35,290441230
"Tuesday, March 8, 2016",7485.3,264945393
"Wednesday, March 9, 2016",7531.8,252709391
"Thursday, March 10, 2016",7486.15,231584305
"Friday, March 11, 2016",7510.2,204806572
"Monday, March 14, 2016",7538.75,172067214
"Tuesday, March 15, 2016",7460.6,199653871
"Wednesday, March 16, 2016",7498.75,201430035
"Thursday, March 17, 2016",7512.55,247043954
"Friday, March 18, 2016",7604.35,244727490
"Monday, March 21, 2016",7704.25,202853386
"Tuesday, March 22, 2016",7714.9,215355848
